REACTION,STANDARD [kJ/mol],UNCERTAINTY [kJ/mol],TRANSFORMED [kJ/mol],MIN TRANSFORMED [kJ/mol],MAX TRANSFORMED [kJ/mol]
CHATn,-9.59,1.6,-9.65,-72.17,52.86
CHLP,-5.51,0.66,-8.76,-81.31,10.35
CHLPCTD,-51.4,6.69,1.74,-70.75,74.23
CHLtm,0.0,0.0,-14.96,-44.64,14.73
CHOLATEt,0.0,0.0,0.03,-59.34,59.41
CHOLATEt2,0.0,0.0,-3.11,-92.18,85.95
CHOLATEt3,11.33,4.76,-31.94,-142.21,24.88
CHOLD2m,-6.23,5.22,-8.82,-78.42,60.79
CHOLK,16.84,4.8,-20.29,-89.08,48.5
CHOLPtg,0.0,0.0,-0.7,-30.39,28.99
CHOLPtl,0.0,0.0,-5.07,-34.76,24.62
CHOLt4,0.0,0.0,-5.9,-65.28,53.48
CHOLtg,0.0,0.0,-0.0,-29.69,29.69
CHOLtn,0.0,0.0,0.0,-29.69,29.69
CHOLtr,0.0,0.0,0.0,-29.69,29.69
CHOLtu,0.0,0.0,-2.89,-32.58,26.79
CHSTEROLt1,0.0,0.0,0.0,-29.69,29.69
CHSTEROLt2,0.0,0.0,0.0,-29.69,29.69
CHSTEROLt3,0.0,0.0,0.0,-29.69,29.69
CHSTEROLtg,11.33,4.76,-29.05,-139.31,27.77
CHTNASE,-18.72,9.77,-18.72,-150.69,6.36
CHTNASEe,-18.72,9.77,-18.72,-150.69,6.36
CITMCOAHm,-0.13,3.23,-0.13,-36.14,35.89
CITMCOALm,11.16,3.1,17.08,-60.24,40.96
CITRtm,0.0,0.0,0.21,-29.47,29.9
CITt4_2,0.0,0.0,2.67,-86.39,91.74
CITtam,0.0,0.0,14.96,-44.42,74.33
CITtbm,0.0,0.0,-0.02,-59.4,59.36
CK,1.99,0.34,7.87,-52.16,67.91
CKc,1.99,0.34,7.71,-52.33,67.74
CLFORtex,0.0,0.0,-2.89,-91.96,86.17
CLHCO3tex2,0.0,0.0,2.93,-86.14,92.0
CLI2tex,0.0,0.0,-2.89,-91.96,86.17
CLOHtex2,0.0,0.0,5.79,-53.59,65.17
CLOXAtex2,0.0,0.0,0.0,-89.07,89.07
CLPNDCOAtx,0.0,0.0,-4.76,-34.45,24.93
CLPNDCPT1,-6.88,3.21,-6.94,-72.6,58.73
CLPNDCPT2,6.88,3.21,7.24,-58.43,72.9
CLPNDCRNt,0.0,0.0,0.0,-29.69,29.69
CLPNDt,0.0,0.0,2.89,-26.8,32.58
CMPACNAtg,0.0,0.0,0.49,-58.89,59.87
CMPACNAtn,0.0,0.0,0.0,-29.69,29.69
CO2ter,0.0,0.0,0.0,-29.69,29.69
CO2tg,0.0,0.0,0.0,-29.69,29.69
CO2tm,0.0,0.0,0.0,-29.69,29.69
CO2tn,0.0,0.0,0.0,-29.69,29.69
CO2tp,0.0,0.0,0.0,-29.69,29.69
COAtg,0.0,0.0,-0.04,-29.72,29.65
COAtl,0.0,0.0,-7.93,-37.62,21.76
COAtm,0.0,0.0,59.53,29.84,89.22
COAtn,0.0,0.0,0.0,-29.69,29.69
COAtp,0.0,0.0,-4.74,-34.43,24.95
COAtr,0.0,0.0,0.0,-29.69,29.69
COKECBESr,26.95,6.64,-17.25,-101.52,13.59
COQ6m,-304.38,11.66,-304.3,-344.97,-210.2
COQ7m,-493.06,8.53,-439.65,-503.87,-322.0
COt,0.0,0.0,0.0,-29.69,29.69
COUCOAFm,-22.73,2.76,-14.88,-109.34,79.59
COUMARINte,0.0,0.0,0.0,-29.69,29.69
CREATt4_2_r,0.0,0.0,-6.01,-95.07,83.06
CREATtmdiffir,0.0,0.0,0.0,-29.69,29.69
CRMPte,0.0,0.0,-5.79,-35.48,23.9
CRNCAR3tp,0.0,0.0,-0.0,-59.38,59.38
CRNCARtp,0.0,0.0,-0.0,-59.38,59.38
CRNt,0.0,0.0,-0.0,-29.69,29.69
CRNtHa,0.0,0.0,-1.71,-31.39,27.98
CRNtim,0.0,0.0,-0.0,-29.69,29.69
CRNtuNa,0.0,0.0,-3.0,-62.38,56.37
CRNtx,0.0,0.0,-11.87,-41.56,17.82
CRTNsyn,6.6,8.3,-39.5,-127.02,-5.42
CRTSLt,0.0,0.0,0.0,-29.69,29.69
CRTSLtm,0.0,0.0,-0.0,-29.69,29.69
CRTSLtr,0.0,0.0,0.0,-29.69,29.69
CRTSTRNt,0.0,0.0,0.0,-29.69,29.69
CRTSTRNtm,0.0,0.0,-0.0,-29.69,29.69
CRTSTRNtr,0.0,0.0,0.0,-29.69,29.69
CRVNCtr,0.0,0.0,2.89,-26.8,32.58
CSm,9.01,4.78,-43.3,-112.05,25.45
CSNAT2m,0.48,4.73,0.84,-67.81,69.49
CSNAT2x,-6.88,3.21,-6.92,-72.58,58.75
CSNAT3x,-0.48,4.73,-0.52,-69.17,68.13
CSNATer,-1.11,2.37,-1.17,-65.18,62.84
CSNATm,1.11,2.37,1.47,-62.54,65.48
CSNATp,-1.11,2.37,-1.15,-65.16,62.86
CSNATr,-1.11,2.37,-1.17,-65.18,62.84
CSNt,0.0,0.0,0.0,-29.68,29.69
CSPG_At,0.0,0.0,-14.47,-44.16,15.22
CSPG_Atly,0.0,0.0,5.31,-24.38,35.0
CSPG_Bt,0.0,0.0,-17.37,-47.06,12.32
CSPG_Btly,0.0,0.0,6.37,-23.32,36.06
CSPG_Ct,0.0,0.0,-14.47,-44.16,15.22
CSPG_Ctly,0.0,0.0,5.31,-24.38,35.0
CSPG_Dt,0.0,0.0,-20.26,-49.95,9.43
CSPG_Dtly,0.0,0.0,7.43,-22.26,37.12
CSPG_Et,0.0,0.0,-23.16,-52.85,6.53
CSPG_Etly,0.0,0.0,8.49,-21.2,38.18
CTPtn,0.0,0.0,0.0,-29.69,29.69
CYANt,0.0,0.0,0.01,-29.68,29.7
CYANtm,0.0,0.0,-0.12,-29.81,29.57
CYSALANaEx,0.0,0.0,-2.98,-92.05,86.09
CYSASNNaEx,0.0,0.0,-3.11,-92.17,85.96
CYSGLNNaEx,0.0,0.0,-2.99,-92.05,86.08
CYSGLTH,24.97,10.69,23.43,-86.6,133.45
CYSGLUexR,0.0,0.0,0.02,-59.36,59.39
CYSGLYexR,0.0,0.0,-0.01,-59.39,59.36
CYSLYSL,14.01,15.8,12.51,-131.26,49.41
CYSSERNaEx,0.0,0.0,-3.01,-92.08,86.05
CYSt4,0.0,0.0,-2.97,-62.34,56.41
CYSTA,-17.65,8.76,-16.17,-92.73,60.38
CYSTAm,-17.65,8.76,-16.2,-92.75,60.36
CYStec,0.0,0.0,0.04,-29.65,29.73
CYSTGLUex,0.0,0.0,-2.84,-62.22,56.54
CYSTHRNaEx,0.0,0.0,-3.01,-92.07,86.06
CYSTSERex,0.0,0.0,0.03,-59.35,59.41
CYTD,-59.5,7.15,-16.82,-102.07,15.0
CYTDK1,25.22,6.96,-14.83,-87.85,58.19
CYTDK2m,25.22,6.96,-19.37,-92.39,53.66
CYTDn,-59.5,7.15,-16.82,-102.07,15.0
CYTDt,0.0,0.0,0.0,-29.69,29.69
CYTDt4,0.0,0.0,-3.0,-62.38,56.37
CYTDtl,0.0,0.0,-0.0,-29.69,29.69
CYTDtm,0.0,0.0,-0.0,-29.69,29.69
CYTDtn,0.0,0.0,0.0,-29.69,29.69
CYTK10,4.72,6.5,2.63,-69.49,74.74
CYTK10n,4.72,6.5,2.63,-69.49,74.74
CYTK11,3.59,6.5,1.5,-70.62,73.61
CYTK11n,3.59,6.5,1.5,-70.62,73.61
CYTK12,1.33,8.04,-0.8,-75.93,74.33
CYTK12n,1.33,8.04,-0.8,-75.93,74.33
CYTK13,0.3,5.49,-1.83,-71.97,68.31
CYTK13n,0.3,5.49,-1.83,-71.97,68.31
CYTK14,3.82,5.15,1.8,-67.67,71.27
CYTK14n,3.82,5.15,1.8,-67.67,71.27
CYTK1m,4.11,4.73,-2.37,-71.02,66.27
CYTK1n,4.11,4.73,1.98,-66.66,70.63
CYTK2n,2.98,4.73,0.85,-67.8,69.5
CYTK3,7.79,5.2,5.7,-63.86,75.26
CYTK3n,6.65,6.42,4.53,-67.44,76.49
CYTK4,6.65,5.2,4.56,-65.0,74.13
CYTK4n,6.65,5.2,4.56,-65.0,74.13
CYTK5,6.65,6.42,4.53,-67.44,76.49
CYTK5n,7.79,5.2,5.7,-63.86,75.26
CYTK6,7.79,7.98,5.66,-69.35,80.67
CYTK6n,7.79,7.98,5.66,-69.35,80.67
CYTK7,4.96,5.15,2.93,-66.54,72.4
CYTK7n,4.96,5.15,2.93,-66.54,72.4
CYTK8,1.43,5.49,-0.7,-70.83,69.44
CYTK8n,1.43,5.49,-0.7,-70.83,69.44
CYTK9,2.46,6.5,0.33,-71.78,72.45
CYTK9n,2.46,6.5,0.33,-71.78,72.45
D_3AIBt,0.0,0.0,-0.0,-29.69,29.69
D3AIBTm,2.81,3.65,2.69,-63.85,69.23
DADA,-56.96,8.73,-14.34,-102.71,20.6
DADAe,-56.96,8.73,-13.23,-101.61,21.7
DADNK,33.5,6.53,-6.53,-78.71,65.64
DADNt4,0.0,0.0,-0.01,-29.69,29.68
DAG_HSter,0.0,0.0,0.0,-29.69,29.69
DAGt,0.0,0.0,0.0,-29.69,29.69
DALAOXx,-90.64,8.64,-92.14,-210.02,-27.7
DALAt2r,0.0,0.0,-1.69,-31.38,28.0
DALAt2rL,0.0,0.0,-11.95,-41.64,17.74
DALAxt,0.0,0.0,0.01,-29.68,29.7
DARGOp,-71.31,11.36,-71.33,-194.54,-1.55
DASCBH,48.35,8.53,4.09,-42.33,50.51
DASPO1p,-86.41,8.5,-89.37,-206.97,-25.22
DATPtn,0.0,0.0,0.0,-29.69,29.69
DCIm,-0.0,0.0,-0.0,-29.69,29.69
DCK1m,26.99,6.4,-17.59,-89.52,54.33
DCK1n,26.99,6.4,-13.06,-84.98,58.87
DCK2n,27.84,6.71,-12.11,-84.64,60.42
DCSPTN1COAtx,0.0,0.0,-4.76,-34.45,24.93
DCSPTN1CPT1,-6.88,3.21,-6.94,-72.6,58.73
DCSPTN1CPT2,6.88,3.21,7.24,-58.43,72.9
DCSPTN1CRNt,0.0,0.0,0.0,-29.69,29.69
DCSPTN1t,0.0,0.0,2.89,-26.8,32.58
DCTPtn,0.0,0.0,0.0,-29.69,29.69
DCYTD,-68.18,7.7,-25.49,-111.83,7.4
DCYTDn,-68.18,7.7,-25.49,-111.83,7.4
DCYTt,0.0,0.0,0.0,-29.69,29.69
DDPGAm,16.65,2.45,18.13,-57.93,40.75
DEBRISOQUINEt,0.0,0.0,-2.89,-32.58,26.79
DECDPtm,0.0,0.0,40.45,10.76,70.13
DESAT16_2,-424.63,7.94,-378.92,-441.98,-262.42
DESAT18_10,-429.05,7.56,-383.34,-445.65,-267.59
DESAT18_3,-429.05,7.56,-383.34,-445.65,-267.59
DESAT18_5,-429.05,7.56,-383.34,-445.65,-267.59
DESAT18_9,-429.05,7.56,-383.34,-445.65,-267.59
DESAT20_1,-429.05,7.56,-383.34,-445.65,-267.59
DESAT20_2,-429.05,7.56,-383.34,-445.65,-267.59
DESAT22_1p,-429.05,7.56,-384.53,-446.84,-268.78
DESAT22_2p,-429.05,7.56,-384.53,-446.84,-268.78
DESAT24_1,-429.05,7.56,-383.34,-445.65,-267.59
DGCHOLte,0.0,0.0,-0.0,-29.69,29.69
DGCHOLtx,0.0,0.0,0.0,-29.69,29.69
DGK2m,4.82,5.49,-1.86,-72.0,68.28
DGNSKm,24.73,6.4,-19.92,-91.85,52.01
DGSNt,0.0,0.0,0.0,-29.69,29.69
DGSNtm,0.0,0.0,-0.03,-29.72,29.66
DGTPtn,0.0,0.0,0.0,-29.69,29.69
DGULND,-52.56,6.93,-8.29,-93.11,23.1
DHAAt1r,0.0,0.0,0.0,-29.69,29.69
DHCHOLESTANATEtm,0.0,0.0,-16.15,-45.84,13.54
DHCR241r,-37.9,9.58,-37.68,-115.83,40.46
DHCR242r,-37.9,9.58,-37.68,-115.83,40.46
DHCR243r,-37.9,5.9,-37.68,-108.63,33.27
DHCR71r,-91.46,16.65,-42.79,-134.8,49.22
DHCR72r,-91.46,16.65,-42.79,-134.8,49.22
DHEASt,0.0,0.0,0.04,-59.34,59.41
DHEAStr,0.0,0.0,0.0,-29.69,29.69
DHEAtr,0.0,0.0,0.0,-29.69,29.69
DHFtl,0.0,0.0,-3.71,-33.39,25.98
DHFtm,0.0,0.0,29.87,0.19,59.56
DHORD9,-115.16,12.46,-115.21,-199.01,-31.41
DHPM1,33.28,5.46,-10.95,-51.35,29.44
DHPM2,47.88,7.37,3.65,-40.48,47.78
DIDPtn,0.0,0.0,0.0,-29.69,29.69
DIGALSGALSIDEtg,0.0,0.0,-0.0,-29.69,29.69
DIGALSIDEtg,0.0,0.0,0.0,-29.69,29.69
DIGALSIDEtl,0.0,0.0,-0.0,-29.69,29.69
DINt,0.0,0.0,0.05,-29.64,29.74
DITPtn,0.0,0.0,0.0,-29.69,29.69
DKMPPD,-440.29,11.2,-529.11,-652.0,-459.66
D_LACt2,0.0,0.0,1.19,-28.5,30.88
D_LACtm,0.0,0.0,-4.75,-34.44,24.94
DLNLCGCRNt,0.0,0.0,0.0,-29.69,29.69
DLNLCGt,0.0,0.0,2.89,-26.8,32.58
DMANTIPYRINEte,0.0,0.0,0.19,-29.5,29.88
DMATTx,-73.38,5.57,-70.92,-141.22,-0.63
DMGtm,0.0,0.0,-0.08,-29.77,29.61
DMHPTCRNCPT1,-6.88,3.21,-6.94,-72.6,58.73
DMHPTCRNCPT2,6.88,3.21,7.24,-58.43,72.9
DMHPTCRNt,0.0,0.0,-19.0,-48.69,10.69
DMHPTCRNte,0.0,0.0,-4.75,-34.44,24.94
DMNONCOACRNCPT1,-6.88,3.21,-6.94,-72.6,58.73
DMNONCRNCPT2,6.88,3.21,7.24,-58.43,72.9
DMNONCRNt,0.0,0.0,-9.5,-39.19,20.19
DNADtn,0.0,0.0,0.0,-29.69,29.69
DNDPt10m,0.0,0.0,0.0,-59.38,59.38
DNDPt11m,0.0,0.0,0.25,-59.13,59.63
DNDPt12m,0.0,0.0,0.0,-59.38,59.38
DNDPt13m,0.0,0.0,-14.82,-74.19,44.56
DNDPt14m,-0.0,0.0,-0.25,-59.63,59.13
DNDPt15m,0.0,0.0,-0.38,-59.76,59.0
DNDPt16m,0.0,0.0,-0.63,-60.01,58.75
DNDPt17m,0.0,0.0,-0.63,-60.01,58.75
DNDPt18m,0.0,0.0,-0.63,-60.0,58.75
DNDPt19m,0.0,0.0,-15.44,-74.82,43.93
DNDPt1m,0.0,0.0,14.82,-44.56,74.2
DNDPt20m,0.0,0.0,-15.2,-74.57,44.18
DNDPt21m,0.0,0.0,-0.38,-59.76,59.0
DNDPt22m,0.0,0.0,0.25,-59.13,59.63
DNDPt23m,0.0,0.0,-0.13,-59.51,59.25
DNDPt24m,0.0,0.0,-0.38,-59.76,59.0
DNDPt25m,0.0,0.0,-0.38,-59.76,59.0
DNDPt26m,0.0,0.0,0.63,-58.75,60.01
DNDPt27m,0.0,0.0,0.38,-59.0,59.76
DNDPt28m,0.0,0.0,0.25,-59.13,59.63
DNDPt29m,0.0,0.0,-0.0,-59.38,59.38
DNDPt2m,0.0,0.0,0.0,-59.38,59.38
DNDPt30m,0.0,0.0,0.0,-59.38,59.38
DNDPt31m,0.0,0.0,-14.82,-74.19,44.56
DNDPt32m,0.0,0.0,-15.06,-74.44,44.31
DNDPt33m,0.0,0.0,0.38,-59.0,59.76
DNDPt34m,0.0,0.0,0.13,-59.25,59.51
DNDPt35m,0.0,0.0,-0.25,-59.63,59.13
DNDPt36m,0.0,0.0,-0.25,-59.63,59.13
DNDPt37m,0.0,0.0,14.2,-45.18,73.58
DNDPt38m,0.0,0.0,14.45,-44.93,73.83
DNDPt39m,0.0,0.0,14.07,-45.31,73.45
DNDPt3m,0.0,0.0,14.82,-44.56,74.2
DNDPt40m,0.0,0.0,13.82,-45.56,73.2
DNDPt41m,0.0,0.0,13.82,-45.56,73.2
DNDPt42m,0.0,0.0,13.82,-45.56,73.2
DNDPt43m,0.0,0.0,-1.0,-60.37,58.38
DNDPt44m,0.0,0.0,-0.63,-60.0,58.75
DNDPt45m,0.0,0.0,14.19,-45.19,73.57
DNDPt46m,0.0,0.0,14.82,-44.56,74.2
DNDPt47m,0.0,0.0,14.57,-44.81,73.95
DNDPt48m,0.0,0.0,14.44,-44.94,73.82
DNDPt49m,0.0,0.0,14.19,-45.19,73.57
DNDPt4m,0.0,0.0,15.45,-43.93,74.82
DNDPt50m,-0.0,0.0,14.19,-45.19,73.57
DNDPt51m,0.0,0.0,14.82,-44.56,74.2
DNDPt52m,0.0,0.0,15.45,-43.93,74.82
DNDPt53m,0.0,0.0,15.07,-44.31,74.44
DNDPt54m,0.0,0.0,14.82,-44.56,74.2
DNDPt55m,0.0,0.0,14.82,-44.56,74.2
DNDPt56m,0.0,0.0,0.0,-59.38,59.38
DNDPt57m,0.0,0.0,-0.42,-59.8,58.96
DNDPt58m,0.0,0.0,14.4,-44.98,73.78
DNDPt59m,0.0,0.0,14.4,-44.98,73.78
DNDPt5m,0.0,0.0,15.2,-44.18,74.57
DNDPt60m,0.0,0.0,15.03,-44.35,74.4
DNDPt61m,0.0,0.0,14.78,-44.6,74.15
DNDPt62m,0.0,0.0,14.65,-44.73,74.02
DNDPt63m,0.0,0.0,14.4,-44.98,73.78
DNDPt6m,0.0,0.0,15.07,-44.31,74.44
DNDPt7m,0.0,0.0,14.82,-44.56,74.2
DNDPt8m,0.0,0.0,0.63,-58.75,60.01
DNDPt9m,0.0,0.0,0.38,-59.0,59.76
DOGULND1,-56.76,5.96,-56.73,-139.67,-27.23
DOGULND2,-56.76,5.96,-56.73,-139.67,-27.23
DOGULNO1,-293.74,12.01,-383.65,-466.57,-300.73
DOGULNO2,25.32,8.44,-20.37,-108.16,13.99
DOLGLCP_Lter,0.0,0.0,0.0,-2.97,2.97
DOLGLCP_Uter,0.0,0.0,0.0,-2.97,2.97
DOLICHOL_Lter,0.0,0.0,0.0,-2.97,2.97
DOLICHOL_Uter,0.0,0.0,0.0,-2.97,2.97
DOLMANP_Lter,0.0,0.0,0.0,-2.97,2.97
DOLMANP_Uter,0.0,0.0,0.0,-2.97,2.97
DOLPMT4_Ler,0.0,0.0,0.0,-2.97,2.97
DOLPMT4_Uer,0.0,0.0,0.0,-2.97,2.97
DOPAQNISO1,-13.62,19.52,-57.83,-125.79,10.12
DOPASFt,0.0,0.0,-0.01,-29.7,29.68
DOPAt4_2_r,0.0,0.0,-8.89,-97.96,80.18
DOPAtu,0.0,0.0,-2.88,-32.57,26.81
DOPAVESSEC,11.33,4.76,-26.17,-136.43,30.65
DORNOp,-132.0,9.44,-132.04,-251.48,-66.04
DPCOAtl,0.0,0.0,3.89,-25.8,33.58
DPGase,-19.45,4.72,-11.05,-91.54,16.01
DPGM,13.78,6.69,-36.33,-79.13,6.47
DPHMBDCm,-59.58,7.39,-10.58,-96.32,21.72
DPMVDx,-43.54,6.89,-35.06,-191.07,14.07
DPPS,-548.85,38.99,-527.75,-841.68,-213.83
DPROOp,-58.14,8.58,-101.19,-177.38,-24.99
DRIBt,0.0,0.0,0.0,-29.69,29.69
DRPA,20.14,2.43,20.1,-55.91,42.68
DTDPtn,0.0,0.0,0.0,-29.69,29.69
DTTPtn,0.0,0.0,0.0,-29.69,29.69
DUDPtn,0.0,0.0,0.0,-29.69,29.69
DUMPtn,0.0,0.0,0.0,-29.69,29.69
DURAD,30.78,9.32,-17.9,-95.56,59.75
DURAD2,51.43,8.54,2.76,-73.36,78.88
DURIK1,26.9,5.32,-13.18,-83.0,56.63
DURIK1m,26.9,5.32,-17.87,-87.68,51.95
DURIt,0.0,0.0,0.01,-29.68,29.7
DURItn,0.0,0.0,0.0,-29.69,29.69
DUTPDPm,-6.82,6.93,-46.3,-131.13,-14.91
DUTPDPn,-6.82,6.93,-43.68,-128.51,-12.3
EAFLATOXINte,0.0,0.0,0.0,-29.69,29.69
EBASTINEOHte,0.0,0.0,-0.0,-29.69,29.69
EBASTINEOHtr,0.0,0.0,0.0,-29.69,29.69
EBASTINEte,0.0,0.0,0.14,-29.55,29.83
EBASTINEtr,0.0,0.0,0.0,-29.69,29.69
EBP1r,6.8,4.73,6.8,-32.16,45.76
EBP2r,6.8,14.32,6.8,-50.95,64.55
ECGISOr,-0.0,0.0,-0.0,-29.69,29.69
ECOAH12m,12.12,2.92,12.12,-23.29,47.53
ECOAH1m,3.79,2.73,3.79,-31.25,38.84
ECOAH1x,3.79,2.73,3.79,-31.25,38.84
ECOAH9m,1.26,3.8,1.26,-35.87,38.38
EGMESTr,38.81,7.83,-5.38,-91.99,27.78
EHGLAT2m,-6.81,4.59,-6.49,-74.86,61.87
EHGLATm,-4.0,4.55,-3.71,-72.0,64.57
EICOSTETCRNt,0.0,0.0,0.0,-29.69,29.69
EICOSTETt,0.0,0.0,2.89,-26.8,32.58
ELAIDCPT1,-6.88,3.21,-6.94,-72.6,58.73
ELAIDCPT2,6.88,3.21,7.24,-58.43,72.9
ELAIDCRNt,0.0,0.0,0.0,-29.69,29.69
ELAIDt,0.0,0.0,2.89,-26.8,32.58
ESTRADIOLGLCt,0.0,0.0,-2.86,-62.24,56.52
ESTRADIOLGLCt2,11.33,4.76,-29.05,-139.31,27.77
ESTRADIOLGLCtr,0.0,0.0,0.0,-29.69,29.69
ESTRADIOLt,0.0,0.0,0.0,-29.69,29.69
ESTRADIOLtr,0.0,0.0,0.0,-29.69,29.69
ESTRIOLGLCte,11.33,4.76,-29.05,-139.32,27.77
ESTRIOLGLCtr,0.0,0.0,0.0,-29.69,29.69
ESTRIOLtr,0.0,0.0,0.0,-29.69,29.69
ESTRONEGLCt,11.33,4.76,-29.05,-139.31,27.77
ESTRONEGLCtr,0.0,0.0,0.0,-29.69,29.69
ESTRONESt,0.0,0.0,0.04,-59.34,59.41
ESTRONESt2,0.0,0.0,-3.11,-92.18,85.95
ESTRONEtr,0.0,0.0,0.0,-29.69,29.69
ETHAK,0.46,7.7,-36.85,-111.33,37.62
ETHP,10.87,6.07,7.8,-75.35,37.51
ETOHMO,-483.05,7.11,-434.39,-495.82,-319.51
ETOHtx,0.0,0.0,0.0,-29.69,29.69
F1Atg,0.0,0.0,0.0,-29.69,29.69
F1PGT,-61.35,6.2,-8.2,-79.72,63.32
FACOAL140i,-22.73,2.76,-15.47,-109.94,79.0
FACOAL160i,-13.63,12.41,-6.36,-119.75,107.03
FACOAL170,-22.73,2.76,-15.47,-109.94,79.0
FACOAL180i,-22.73,2.76,-15.47,-109.94,79.0
FACOAL1813,-22.73,2.76,-15.47,-109.94,79.0
FACOAL181i,-22.73,2.76,-15.47,-109.94,79.0
FACOAL1821,-33.59,3.65,-26.33,-122.55,69.9
FACOAL1831,-22.73,2.76,-15.47,-109.94,79.0
FACOAL1832,-22.73,2.76,-15.47,-109.94,79.0
FACOAL184,-22.73,2.76,-15.47,-109.94,79.0
FACOAL191,-22.73,2.76,-15.47,-109.94,79.0
FACOAL200,-22.73,2.76,-15.47,-109.94,79.0
FACOAL203,-22.73,2.76,-15.47,-109.94,79.0
FACOAL204,-23.83,3.77,-16.57,-113.02,79.88
FACOAL2042,-22.73,2.76,-15.47,-109.94,79.0
FACOAL205,-22.73,2.76,-15.47,-109.94,79.0
FACOAL206,-22.73,2.76,-15.47,-109.94,79.0
FACOAL224,-22.73,2.76,-15.47,-109.94,79.0
FACOAL2251,-22.73,2.76,-15.47,-109.94,79.0
FACOAL2252,-22.73,2.76,-15.47,-109.94,79.0
FACOAL226,-22.73,2.76,-15.47,-109.94,79.0
FACOAL240,-22.73,2.76,-15.47,-109.94,79.0
FACOAL241,-22.73,2.76,-15.47,-109.94,79.0
FACOAL244_1,-22.73,2.76,-15.47,-109.94,79.0
FACOAL245_1,-22.73,2.76,-15.47,-109.94,79.0
FACOAL245_2,-22.73,2.76,-15.47,-109.94,79.0
FACOAL246_1,-22.73,2.76,-15.47,-109.94,79.0
FACOAL260,-22.73,2.76,-15.47,-109.94,79.0
FACOAL40im,-11.63,5.46,-2.71,-102.48,97.07
FACOAL80i,-22.73,2.76,-15.46,-109.93,79.0
FADDP,57.73,12.05,-37.26,-132.13,4.17
FADH2tru,0.0,0.0,0.0,-29.69,29.69
FADH2tx,0.0,0.0,-2.16,-31.85,27.53
FADtru,0.0,0.0,0.0,-29.69,29.69
FADtx,0.0,0.0,-2.6,-32.29,27.08
FAEL183,-750.69,25.71,-505.93,-764.16,-247.71
FAEL184,-750.69,25.71,-505.93,-764.16,-247.71
FAEL204,-750.69,25.71,-505.93,-764.16,-247.71
FAEL205,-750.69,25.71,-505.93,-764.16,-247.71
FAH1,-438.12,6.95,-389.45,-450.58,-274.89
FAH3,-424.58,13.53,-375.92,-449.94,-248.45
FALDH,10.92,7.37,-34.77,-96.71,80.61
FALDtly,0.0,0.0,0.0,-29.69,29.69
FALDtm,0.0,0.0,-0.0,-29.69,29.69
FAOXC11,107.37,5.48,-39.21,-139.03,60.6
FAOXC140,406.18,43.53,90.02,-559.39,739.43
FAOXC160,478.78,50.94,109.93,-643.07,862.93
FAOXC16080m,277.13,29.21,66.36,-376.84,509.55
FAOXC16080x,-167.8,34.8,-345.73,-799.89,108.43
FAOXC161802m,222.2,26.17,14.02,-393.54,421.58
FAOXC16180m,222.2,26.17,14.02,-393.54,421.58
FAOXC170m,482.4,50.75,113.55,-639.07,866.17
FAOXC180,63.75,7.6,11.06,-122.59,144.7
FAOXC180x,-47.48,8.95,-91.97,-228.26,44.33
FAOXC1811601m,290.37,33.33,29.5,-481.16,540.16
FAOXC1811603m,290.37,33.33,29.5,-481.16,540.16
FAOXC182806m,239.87,31.14,-18.41,-495.08,458.27
FAOXC183803m,189.37,29.79,-66.31,-510.65,378.03
FAOXC183806m,-33.09,31.26,-283.6,-730.81,163.62
FAOXC183806x,-33.09,31.26,-255.5,-702.71,191.72
FAOXC18480m,138.87,29.39,-114.22,-528.1,299.66
FAOXC18480x,27.64,29.77,-194.77,-609.38,219.85
FAOXC200180m,68.17,7.24,15.48,-117.47,148.43
FAOXC200180x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC2031836m,68.17,7.24,15.48,-117.47,148.43
FAOXC204,408.7,55.46,-55.17,-876.4,766.07
FAOXC204184m,68.17,7.24,15.48,-117.47,148.43
FAOXC2051843m,17.67,6.0,-32.43,-133.25,68.4
FAOXC2051843x,17.67,6.0,-26.81,-127.63,74.02
FAOXC2242046m,68.17,7.24,15.48,-117.47,148.43
FAOXC2242046x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC2251836m,35.35,12.0,-64.85,-236.81,107.11
FAOXC2251836x,35.35,12.0,-53.61,-225.57,118.35
FAOXC2252053m,-43.06,8.65,-93.16,-228.87,42.55
FAOXC2252053x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC226,375.87,59.67,-135.5,-994.68,723.67
FAOXC226205m,17.67,6.0,-32.43,-133.25,68.4
FAOXC226205x,17.67,6.0,-26.81,-127.63,74.02
FAOXC240200x,-86.12,17.3,-175.08,-416.81,66.65
FAOXC241181x,-129.17,25.95,-262.62,-610.37,85.13
FAOXC2442246x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC2452253x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC2452256x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC246226x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC260240x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC80,201.65,21.85,43.57,-296.14,383.29
FAS100COA,-200.08,16.28,-52.65,-244.89,86.14
FAS120COA,-200.08,16.28,-52.65,-244.89,86.14
FAS140COA,-200.08,16.28,-52.65,-244.89,86.14
